GÃ¼n,Saat,Sicaklik
1,00:00,18.2
1,01:00,17.8
1,02:00,17.4
1,03:00,17.1
1,04:00,16.9
1,05:00,17
1,06:00,18.3
1,07:00,20.5
1,08:00,23.3
1,09:00,25.7
1,10:00,27.8
1,11:00,29.5
1,12:00,30.7
1,13:00,31.3
1,14:00,32.7
1,15:00,33.5
1,16:00,33
1,17:00,31.2
1,18:00,28.7
1,19:00,26.2
1,20:00,23.9
1,21:00,22.2
1,22:00,20.6
1,23:00,18.9
2,00:00,18.1
2,01:00,17.7
2,02:00,17.3
2,03:00,17
2,04:00,16.8
2,05:00,16.9
2,06:00,18
2,07:00,20.2
2,08:00,23.1
2,09:00,25.4
2,10:00,27.6
2,11:00,29.3
2,12:00,30.5
2,13:00,31.1
2,14:00,32.6
2,15:00,33.4
2,16:00,32.9
2,17:00,31
2,18:00,28.5
2,19:00,26
2,20:00,23.8
2,21:00,22
2,22:00,20.3
2,23:00,18.8
3,00:00,18.4
3,01:00,17.9
3,02:00,17.5
3,03:00,17.2
3,04:00,16.9
3,05:00,17.1
3,06:00,18.5
3,07:00,20.7
3,08:00,23.4
3,09:00,25.6
3,10:00,27.9
3,11:00,29.6
3,12:00,30.8
3,13:00,31.4
3,14:00,32.9
3,15:00,33.6
3,16:00,33.1
3,17:00,31.3
3,18:00,28.9
3,19:00,26.1
3,20:00,24
3,21:00,22.3
3,22:00,20.7
3,23:00,19
4,00:00,18.3
4,01:00,17.8
4,02:00,17.4
4,03:00,17.1
4,04:00,16.9
4,05:00,17
4,06:00,18.4
4,07:00,20.6
4,08:00,23.3
4,09:00,25.5
4,10:00,27.7
4,11:00,29.4
4,12:00,30.6
4,13:00,31.2
4,14:00,32.8
4,15:00,33.5
4,16:00,33
4,17:00,31.1
4,18:00,28.8
4,19:00,26.3
4,20:00,24.1
4,21:00,22.4
4,22:00,20.8
4,23:00,19.1
5,00:00,18.3
5,01:00,17.8
5,02:00,17.5
5,03:00,17.1
5,04:00,16.9
5,05:00,17
5,06:00,18.4
5,07:00,20.7
5,08:00,23.5
5,09:00,25.7
5,10:00,27.9
5,11:00,29.6
5,12:00,30.8
5,13:00,31.4
5,14:00,32.9
5,15:00,33.7
5,16:00,33.2
5,17:00,31.3
5,18:00,28.9
5,19:00,26.2
5,20:00,24
5,21:00,22.3
5,22:00,20.8
5,23:00,19.1
6,00:00,18.4
6,01:00,17.9
6,02:00,17.5
6,03:00,17.2
6,04:00,16.9
6,05:00,17.1
6,06:00,18.5
6,07:00,20.8
6,08:00,23.5
6,09:00,25.8
6,10:00,28
6,11:00,29.7
6,12:00,30.9
6,13:00,31.5
6,14:00,33
6,15:00,33.7
6,16:00,33.2
6,17:00,31.4
6,18:00,29
6,19:00,26.3
6,20:00,24.1
6,21:00,22.5
6,22:00,20.9
6,23:00,19.2
7,00:00,18.5
7,01:00,18
7,02:00,17.6
7,03:00,17.3
7,04:00,17
7,05:00,17.2
7,06:00,18.6
7,07:00,20.9
7,08:00,23.6
7,09:00,25.9
7,10:00,28.1
7,11:00,29.8
7,12:00,31
7,13:00,31.6
7,14:00,33.1
7,15:00,33.8
7,16:00,33.3
7,17:00,31.5
7,18:00,29.1
7,19:00,26.4
7,20:00,24.2
7,21:00,22.6
7,22:00,21
7,23:00,19.3
8,00:00,18.6
8,01:00,18.1
8,02:00,17.7
8,03:00,17.4
8,04:00,17.1
8,05:00,17.3
8,06:00,18.7
8,07:00,21
8,08:00,23.7
8,09:00,26
8,10:00,28.2
8,11:00,29.9
8,12:00,31.1
8,13:00,31.7
8,14:00,33.2
8,15:00,33.9
8,16:00,33.4
8,17:00,31.6
8,18:00,29.2
8,19:00,26.5
8,20:00,24.3
8,21:00,22.7
8,22:00,21.1
8,23:00,19.4
9,00:00,18.7
9,01:00,18.2
9,02:00,17.8
9,03:00,17.5
9,04:00,17.2
9,05:00,17.4
9,06:00,18.8
9,07:00,21.1
9,08:00,23.8
9,09:00,26.1
9,10:00,28.3
9,11:00,30
9,12:00,31.2
9,13:00,31.8
9,14:00,33.3
9,15:00,34
9,16:00,33.5
9,17:00,31.7
9,18:00,29.3
9,19:00,26.6
9,20:00,24.4
9,21:00,22.8
9,22:00,21.2
9,23:00,19.5
10,00:00,18.8
10,01:00,18.3
10,02:00,17.9
10,03:00,17.6
10,04:00,17.3
10,05:00,17.5
10,06:00,18.9
10,07:00,21.2
10,08:00,23.9
10,09:00,26.2
10,10:00,28.4
10,11:00,30.1
10,12:00,31.3
10,13:00,31.9
10,14:00,33.4
10,15:00,34.1
10,16:00,33.6
10,17:00,31.8
10,18:00,29.4
10,19:00,26.7
10,20:00,24.5
10,21:00,22.9
10,22:00,21.3
10,23:00,19.6
11,00:00,18.9
11,01:00,18.4
11,02:00,18
11,03:00,17.7
11,04:00,17.4
11,05:00,17.6
11,06:00,19
11,07:00,21.3
11,08:00,24
11,09:00,26.3
11,10:00,28.5
11,11:00,30.2
11,12:00,31.4
11,13:00,32
11,14:00,33.5
11,15:00,34.2
11,16:00,33.7
11,17:00,31.9
11,18:00,29.5
11,19:00,26.8
11,20:00,24.6
11,21:00,23
11,22:00,21.4
11,23:00,19.7
12,00:00,19
12,01:00,18.5
12,02:00,18.1
12,03:00,17.8
12,04:00,17.5
12,05:00,17.7
12,06:00,19.1
12,07:00,21.4
12,08:00,24.1
12,09:00,26.4
12,10:00,28.6
12,11:00,30.3
12,12:00,31.5
12,13:00,32.1
12,14:00,33.6
12,15:00,34.3
12,16:00,33.8
12,17:00,32
12,18:00,29.6
12,19:00,26.9
12,20:00,24.7
12,21:00,23.1
12,22:00,21.5
12,23:00,19.8
13,00:00,19.1
13,01:00,18.6
13,02:00,18.2
13,03:00,17.9
13,04:00,17.6
13,05:00,17.8
13,06:00,19.2
13,07:00,21.5
13,08:00,24.2
13,09:00,26.5
13,10:00,28.7
13,11:00,30.4
13,12:00,31.6
13,13:00,32.2
13,14:00,33.7
13,15:00,34.4
13,16:00,33.9
13,17:00,32.1
13,18:00,29.7
13,19:00,27
13,20:00,24.8
13,21:00,23.2
13,22:00,21.6
13,23:00,19.9
14,00:00,19.2
14,01:00,18.7
14,02:00,18.3
14,03:00,18
14,04:00,17.7
14,05:00,17.9
14,06:00,19.3
14,07:00,21.6
14,08:00,24.3
14,09:00,26.6
14,10:00,28.8
14,11:00,30.5
14,12:00,31.7
14,13:00,32.3
14,14:00,33.8
14,15:00,34.5
14,16:00,34
14,17:00,32.2
14,18:00,29.8
14,19:00,27.1
14,20:00,24.9
14,21:00,23.3
14,22:00,21.7
14,23:00,20
15,00:00,19.3
15,01:00,18.8
15,02:00,18.4
15,03:00,18.1
15,04:00,17.8
15,05:00,18
15,06:00,19.4
15,07:00,21.7
15,08:00,24.4
15,09:00,26.7
15,10:00,28.9
15,11:00,30.6
15,12:00,31.8
15,13:00,32.4
15,14:00,33.9
15,15:00,34.6
15,16:00,34.1
15,17:00,32.3
15,18:00,29.9
15,19:00,27.2
15,20:00,25
15,21:00,23.4
15,22:00,21.8
15,23:00,20.1
16,00:00,19.4
16,01:00,18.9
16,02:00,18.5
16,03:00,18.2
16,04:00,17.9
16,05:00,18.1
16,06:00,19.5
16,07:00,21.8
16,08:00,24.5
16,09:00,26.8
16,10:00,29
16,11:00,30.7
16,12:00,31.9
16,13:00,32.5
16,14:00,34
16,15:00,34.7
16,16:00,34.2
16,17:00,32.4
16,18:00,30
16,19:00,27.3
16,20:00,25.1
16,21:00,23.5
16,22:00,21.9
16,23:00,20.2
17,00:00,19.5
17,01:00,19
17,02:00,18.6
17,03:00,18.3
17,04:00,18
17,05:00,18.2
17,06:00,19.6
17,07:00,21.9
17,08:00,24.6
17,09:00,26.9
17,10:00,29.1
17,11:00,30.8
17,12:00,32
17,13:00,32.6
17,14:00,34.1
17,15:00,34.8
17,16:00,34.3
17,17:00,32.5
17,18:00,30.1
17,19:00,27.4
17,20:00,25.2
17,21:00,23.6
17,22:00,22
17,23:00,20.3
18,00:00,19.6
18,01:00,19.1
18,02:00,18.7
18,03:00,18.4
18,04:00,18.1
18,05:00,18.3
18,06:00,19.7
18,07:00,22
18,08:00,24.7
18,09:00,27
18,10:00,29.2
18,11:00,30.9
18,12:00,32.1
18,13:00,32.7
18,14:00,34.2
18,15:00,34.9
18,16:00,34.4
18,17:00,32.6
18,18:00,30.2
18,19:00,27.5
18,20:00,25.3
18,21:00,23.7
18,22:00,22.1
18,23:00,20.4
19,00:00,19.7
19,01:00,19.2
19,02:00,18.8
19,03:00,18.5
19,04:00,18.2
19,05:00,18.4
19,06:00,19.8
19,07:00,22.1
19,08:00,24.8
19,09:00,27.1
19,10:00,29.3
19,11:00,31
19,12:00,32.2
19,13:00,32.8
19,14:00,34.3
19,15:00,35
19,16:00,34.5
19,17:00,32.7
19,18:00,30.3
19,19:00,27.6
19,20:00,25.4
19,21:00,23.8
19,22:00,22.2
19,23:00,20.5
20,00:00,19.8
20,01:00,19.3
20,02:00,18.9
20,03:00,18.6
20,04:00,18.3
20,05:00,18.5
20,06:00,19.9
20,07:00,22.2
20,08:00,24.9
20,09:00,27.2
20,10:00,29.4
20,11:00,31.1
20,12:00,32.3
20,13:00,32.9
20,14:00,34.4
20,15:00,35.1
20,16:00,34.6
20,17:00,32.8
20,18:00,30.4
20,19:00,27.7
20,20:00,25.5
20,21:00,23.9
20,22:00,22.3
20,23:00,20.6
21,00:00,19.9
21,01:00,19.4
21,02:00,19
21,03:00,18.7
21,04:00,18.4
21,05:00,18.6
21,06:00,20
21,07:00,22.3
21,08:00,25
21,09:00,27.3
21,10:00,29.5
21,11:00,31.2
21,12:00,32.4
21,13:00,33
21,14:00,34.5
21,15:00,35.2
21,16:00,34.7
21,17:00,32.9
21,18:00,30.5
21,19:00,27.8
21,20:00,25.6
21,21:00,24
21,22:00,22.4
21,23:00,20.7
22,00:00,20
22,01:00,19.5
22,02:00,19.1
22,03:00,18.8
22,04:00,18.5
22,05:00,18.7
22,06:00,20.1
22,07:00,22.4
22,08:00,25.1
22,09:00,27.4
22,10:00,29.6
22,11:00,31.3
22,12:00,32.5
22,13:00,33.1
22,14:00,34.6
22,15:00,35.3
22,16:00,34.8
22,17:00,33
22,18:00,30.6
22,19:00,27.9
22,20:00,25.7
22,21:00,24.1
22,22:00,22.5
22,23:00,20.8
23,00:00,20.1
23,01:00,19.6
23,02:00,19.2
23,03:00,18.9
23,04:00,18.6
23,05:00,18.8
23,06:00,20.2
23,07:00,22.5
23,08:00,25.2
23,09:00,27.5
23,10:00,29.7
23,11:00,31.4
23,12:00,32.6
23,13:00,33.2
23,14:00,34.7
23,15:00,35.4
23,16:00,34.9
23,17:00,33.1
23,18:00,30.7
23,19:00,28
23,20:00,25.8
23,21:00,24.2
23,22:00,22.6
23,23:00,20.9
24,00:00,20.2
24,01:00,19.7
24,02:00,19.3
24,03:00,19
24,04:00,18.7
24,05:00,18.9
24,06:00,20.3
24,07:00,22.6
24,08:00,25.3
24,09:00,27.6
24,10:00,29.8
24,11:00,31.5
24,12:00,32.7
24,13:00,33.3
24,14:00,34.8
24,15:00,35.5
24,16:00,35
24,17:00,33.2
24,18:00,30.8
24,19:00,28.1
24,20:00,25.9
24,21:00,24.3
24,22:00,22.7
24,23:00,21
25,00:00,20.3
25,01:00,19.8
25,02:00,19.4
25,03:00,19.1
25,04:00,18.8
25,05:00,19
25,06:00,20.4
25,07:00,22.7
25,08:00,25.4
25,09:00,27.7
25,10:00,29.9
25,11:00,31.6
25,12:00,32.8
25,13:00,33.4
25,14:00,34.9
25,15:00,35.6
25,16:00,35.1
25,17:00,33.3
25,18:00,30.9
25,19:00,28.2
25,20:00,26
25,21:00,24.4
25,22:00,22.8
25,23:00,21.1
26,00:00,20.4
26,01:00,19.9
26,02:00,19.5
26,03:00,19.2
26,04:00,18.9
26,05:00,19.1
26,06:00,20.5
26,07:00,22.8
26,08:00,25.5
26,09:00,27.8
26,10:00,30
26,11:00,31.7
26,12:00,32.9
26,13:00,33.5
26,14:00,35
26,15:00,35.7
26,16:00,35.2
26,17:00,33.4
26,18:00,31
26,19:00,28.3
26,20:00,26.1
26,21:00,24.5
26,22:00,22.9
26,23:00,21.2
27,00:00,20.5
27,01:00,20
27,02:00,19.6
27,03:00,19.3
27,04:00,19
27,05:00,19.2
27,06:00,20.6
27,07:00,22.9
27,08:00,25.6
27,09:00,27.9
27,10:00,30.1
27,11:00,31.8
27,12:00,33
27,13:00,33.6
27,14:00,35.1
27,15:00,35.8
27,16:00,35.3
27,17:00,33.5
27,18:00,31.1
27,19:00,28.4
27,20:00,26.2
27,21:00,24.6
27,22:00,23
27,23:00,21.3
28,00:00,20.6
28,01:00,20.1
28,02:00,19.7
28,03:00,19.4
28,04:00,19.1
28,05:00,19.3
28,06:00,20.7
28,07:00,23
28,08:00,25.7
28,09:00,28
28,10:00,30.2
28,11:00,31.9
28,12:00,33.1
28,13:00,33.7
28,14:00,35.2
28,15:00,35.9
28,16:00,35.4
28,17:00,33.6
28,18:00,31.2
28,19:00,28.5
28,20:00,26.3
28,21:00,24.7
28,22:00,23.1
28,23:00,21.4
29,00:00,20.7
29,01:00,20.2
29,02:00,19.8
29,03:00,19.5
29,04:00,19.2
29,05:00,19.4
29,06:00,20.8
29,07:00,23.1
29,08:00,25.8
29,09:00,28.1
29,10:00,30.3
29,11:00,32
29,12:00,33.2
29,13:00,33.8
29,14:00,35.3
29,15:00,36
29,16:00,35.5
29,17:00,33.7
29,18:00,31.3
29,19:00,28.6
29,20:00,26.4
29,21:00,24.8
29,22:00,23.2
29,23:00,21.5
30,00:00,20.8
30,01:00,20.3
30,02:00,19.9
30,03:00,19.6
30,04:00,19.3
30,05:00,19.5
30,06:00,20.9
30,07:00,23.2
30,08:00,25.9
30,09:00,28.2
30,10:00,30.4
30,11:00,32.1
30,12:00,33.3
30,13:00,33.9
30,14:00,35.4
30,15:00,36.1
30,16:00,35.6
30,17:00,33.8
30,18:00,31.4
30,19:00,28.7
30,20:00,26.5
30,21:00,24.9
30,22:00,23.3
30,23:00,21.6
